DateTime,LocationID,ForecastTime,VendorID,Value,Units
2020-10-25T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-26T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-26T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-26T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-26T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-27T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.34,CFS
2020-10-27T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.35,CFS
2020-10-27T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.35,CFS
2020-10-27T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.35,CFS
2020-10-28T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.35,CFS
2020-10-28T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.59,CFS
2020-10-28T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.59,CFS
2020-10-28T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.59,CFS
2020-10-29T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 0.59,CFS
2020-10-29T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 1.28,CFS
2020-10-29T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 1.28,CFS
2020-10-29T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 1.28,CFS
2020-10-30T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 1.28,CFS
2020-10-30T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 5.56,CFS
2020-10-30T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 5.56,CFS
2020-10-30T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 5.56,CFS
2020-10-31T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 5.56,CFS
2020-10-31T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc,14.03,CFS
2020-10-31T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc,14.03,CFS
2020-10-31T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc,14.03,CFS
2020-11-01T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc,14.03,CFS
2020-11-01T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.77,CFS
2020-11-01T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.77,CFS
2020-11-01T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.77,CFS
2020-11-02T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.77,CFS
2020-11-02T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.34,CFS
2020-11-02T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.34,CFS
2020-11-02T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.34,CFS
2020-11-03T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc,20.34,CFS
2020-11-03T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc,13.46,CFS
2020-11-03T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc,13.46,CFS
2020-11-03T18,BNDN5,2020-10-25T00,TC+KHGMEC_bc,13.46,CFS
2020-11-04T00,BNDN5,2020-10-25T00,TC+KHGMEC_bc,13.46,CFS
2020-11-04T06,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 8.66,CFS
2020-11-04T12,BNDN5,2020-10-25T00,TC+KHGMEC_bc, 8.66,CFS
2020-10-25T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,20.42,CFS
2020-10-26T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,20.42,CFS
2020-10-26T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,15.17,CFS
2020-10-26T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,15.17,CFS
2020-10-26T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,15.17,CFS
2020-10-27T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,15.17,CFS
2020-10-27T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.63,CFS
2020-10-27T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.63,CFS
2020-10-27T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.63,CFS
2020-10-28T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.63,CFS
2020-10-28T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.71,CFS
2020-10-28T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.71,CFS
2020-10-28T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.71,CFS
2020-10-29T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,14.71,CFS
2020-10-29T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,13.91,CFS
2020-10-29T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,13.91,CFS
2020-10-29T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,13.91,CFS
2020-10-30T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,13.91,CFS
2020-10-30T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.22,CFS
2020-10-30T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.22,CFS
2020-10-30T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.22,CFS
2020-10-31T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.22,CFS
2020-10-31T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.34,CFS
2020-10-31T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.34,CFS
2020-10-31T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.34,CFS
2020-11-01T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.34,CFS
2020-11-01T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.27,CFS
2020-11-01T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.27,CFS
2020-11-01T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.27,CFS
2020-11-02T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,12.27,CFS
2020-11-02T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.76,CFS
2020-11-02T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.76,CFS
2020-11-02T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.76,CFS
2020-11-03T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc,11.76,CFS
2020-11-03T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 9.11,CFS
2020-11-03T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 9.11,CFS
2020-11-03T18,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 9.11,CFS
2020-11-04T00,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 9.11,CFS
2020-11-04T06,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 6.57,CFS
2020-11-04T12,ARWN8,2020-10-25T00,TC+KHGMEC_bc, 6.57,CFS
2020-10-25T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.68,CFS
2020-10-26T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.68,CFS
2020-10-26T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.17,CFS
2020-10-26T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.17,CFS
2020-10-26T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.17,CFS
2020-10-27T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.17,CFS
2020-10-27T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.96,CFS
2020-10-27T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.96,CFS
2020-10-27T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.96,CFS
2020-10-28T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.96,CFS
2020-10-28T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.95,CFS
2020-10-28T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.95,CFS
2020-10-28T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.95,CFS
2020-10-29T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.95,CFS
2020-10-29T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.86,CFS
2020-10-29T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.86,CFS
2020-10-29T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.86,CFS
2020-10-30T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,33.86,CFS
2020-10-30T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.82,CFS
2020-10-30T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.82,CFS
2020-10-30T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.82,CFS
2020-10-31T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.82,CFS
2020-10-31T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.79,CFS
2020-10-31T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.79,CFS
2020-10-31T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.79,CFS
2020-11-01T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.79,CFS
2020-11-01T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.78,CFS
2020-11-01T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.78,CFS
2020-11-01T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.78,CFS
2020-11-02T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.78,CFS
2020-11-02T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.61,CFS
2020-11-02T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.61,CFS
2020-11-02T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.61,CFS
2020-11-03T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.61,CFS
2020-11-03T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.58,CFS
2020-11-03T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.58,CFS
2020-11-03T18,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.58,CFS
2020-11-04T00,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.58,CFS
2020-11-04T06,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.86,CFS
2020-11-04T12,TCCC1,2020-10-25T00,TC+KHGMEC_bc,34.86,CFS
2020-10-25T18,CARO2,2020-10-25T00,TC+KHGMEC_bc, 5.75,CFS
2020-10-26T00,CARO2,2020-10-25T00,TC+KHGMEC_bc, 5.75,CFS
2020-10-26T06,CARO2,2020-10-25T00,TC+KHGMEC_bc, 9.52,CFS
2020-10-26T12,CARO2,2020-10-25T00,TC+KHGMEC_bc, 9.52,CFS
2020-10-26T18,CARO2,2020-10-25T00,TC+KHGMEC_bc, 9.52,CFS
2020-10-27T00,CARO2,2020-10-25T00,TC+KHGMEC_bc, 9.52,CFS
2020-10-27T06,CARO2,2020-10-25T00,TC+KHGMEC_bc,22.79,CFS
2020-10-27T12,CARO2,2020-10-25T00,TC+KHGMEC_bc,22.79,CFS
2020-10-27T18,CARO2,2020-10-25T00,TC+KHGMEC_bc,22.79,CFS
2020-10-28T00,CARO2,2020-10-25T00,TC+KHGMEC_bc,22.79,CFS
2020-10-28T06,CARO2,2020-10-25T00,TC+KHGMEC_bc,28.29,CFS
