DateTime,LocationID,ForecastTime,VendorID,Value,Units
2020-12-13T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.82,CFS
2020-12-14T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 9.01,CFS
2020-12-14T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm,10.13,CFS
2020-12-14T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 8.98,CFS
2020-12-14T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.07,CFS
2020-12-15T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.57,CFS
2020-12-15T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.79,CFS
2020-12-15T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 8.22,CFS
2020-12-15T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.85,CFS
2020-12-16T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 7.26,CFS
2020-12-16T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 6.34,CFS
2020-12-16T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 5.37,CFS
2020-12-16T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 4.36,CFS
2020-12-17T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 4.46,CFS
2020-12-17T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 3.89,CFS
2020-12-17T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 2.93,CFS
2020-12-17T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 1.88,CFS
2020-12-18T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 1.73,CFS
2020-12-18T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 1.62,CFS
2020-12-18T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 1.64,CFS
2020-12-18T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 2.06,CFS
2020-12-19T00,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 2.80,CFS
2020-12-19T06,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 3.20,CFS
2020-12-19T12,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 3.50,CFS
2020-12-19T18,BNDN5,2020-12-13T00,TC+KHGMEC_lstm, 3.28,CFS
