DateTime,LocationID,ForecastTime,VendorID,Value,Units
2021-01-26T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-27T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-27T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-27T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-27T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-28T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-28T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-28T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-28T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-29T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-29T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-29T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-29T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-30T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.21,CFS
2021-01-30T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-30T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-30T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-31T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-31T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-31T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-01-31T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-01T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-01T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-01T12,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-01T18,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-02T00,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
2021-02-02T06,BNDN5,2021-01-26T00,TC+KHGMEC_raw, 2.76,CFS
