DateTime,LocationID,ForecastTime,VendorID,Value,Units
2021-03-16T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-17T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-17T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-17T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-17T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-18T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-18T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-18T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-18T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-19T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-19T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-19T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-19T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-20T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-20T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-20T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-20T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-21T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-21T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-21T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-21T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-22T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-22T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-22T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-22T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-23T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-23T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-23T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-23T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-24T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-24T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-24T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-24T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-25T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-25T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-25T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-25T18,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-26T00,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-26T06,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-26T12,BNDN5,2021-03-16T00,TC+KHGMEC_bc, 0.83,CFS
2021-03-16T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,15.81,CFS
2021-03-17T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,15.81,CFS
2021-03-17T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.63,CFS
2021-03-17T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.63,CFS
2021-03-17T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.63,CFS
2021-03-18T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.63,CFS
2021-03-18T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.02,CFS
2021-03-18T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.02,CFS
2021-03-18T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.02,CFS
2021-03-19T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,14.02,CFS
2021-03-19T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,11.18,CFS
2021-03-19T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,11.18,CFS
2021-03-19T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,11.18,CFS
2021-03-20T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,11.18,CFS
2021-03-20T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,12.60,CFS
2021-03-20T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,12.60,CFS
2021-03-20T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,12.60,CFS
2021-03-21T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,12.60,CFS
2021-03-21T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,13.69,CFS
2021-03-21T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,13.69,CFS
2021-03-21T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,13.69,CFS
2021-03-22T00,ARWN8,2021-03-16T00,TC+KHGMEC_bc,13.69,CFS
2021-03-22T06,ARWN8,2021-03-16T00,TC+KHGMEC_bc,15.26,CFS
2021-03-22T12,ARWN8,2021-03-16T00,TC+KHGMEC_bc,15.26,CFS
2021-03-22T18,ARWN8,2021-03-16T00,TC+KHGMEC_bc,15.26,CFS
