DateTime,LocationID,ForecastTime,VendorID,Value,Units
2020-10-01T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,44.19,CFS
2020-10-02T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,52.61,CFS
2020-10-02T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,53.38,CFS
2020-10-02T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,49.16,CFS
2020-10-02T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,54.26,CFS
2020-10-03T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,57.98,CFS
2020-10-03T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,48.11,CFS
2020-10-03T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,42.61,CFS
2020-10-03T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,44.92,CFS
2020-10-04T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,47.23,CFS
2020-10-04T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,46.03,CFS
2020-10-04T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,37.90,CFS
2020-10-04T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,32.04,CFS
2020-10-05T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,27.18,CFS
2020-10-05T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,20.38,CFS
2020-10-05T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,13.54,CFS
2020-10-05T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm, 7.73,CFS
2020-10-06T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm, 7.37,CFS
2020-10-06T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm, 9.63,CFS
2020-10-06T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,11.85,CFS
2020-10-06T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,15.02,CFS
2020-10-07T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,17.79,CFS
2020-10-07T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,22.00,CFS
2020-10-07T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,28.49,CFS
2020-10-07T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,35.35,CFS
2020-10-08T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,36.31,CFS
2020-10-08T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,31.57,CFS
2020-10-08T12,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,29.13,CFS
2020-10-08T18,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,31.10,CFS
2020-10-09T00,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,28.14,CFS
2020-10-09T06,BNDN5,2020-10-01T00,TC+KHGMEC_lstm,22.35,CFS
