DateTime,LocationID,ForecastTime,VendorID,Value,Units
2020-09-27T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-28T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-28T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-28T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-28T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-29T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-29T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-29T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-29T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-30T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-30T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-30T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-30T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-01T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-01T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-01T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-01T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-02T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-02T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-02T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-02T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-03T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-03T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-03T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-03T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-04T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-04T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-04T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-04T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-05T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-05T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-05T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-05T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-06T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-06T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-06T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-06T18,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-07T00,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-07T06,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-10-07T12,BNDN5,2020-09-27T00,TC+KHGMEC_lstm,0.00,CFS
2020-09-27T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-28T00,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-28T06,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-28T12,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-28T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-29T00,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-29T06,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-29T12,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-29T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-30T00,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-30T06,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-30T12,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-09-30T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-01T00,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-01T06,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-01T12,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-01T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-02T00,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-02T06,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-02T12,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
2020-10-02T18,ARWN8,2020-09-27T00,TC+KHGMEC_lstm,6.19,CFS
