DateTime,LocationID,ForecastTime,VendorID,Value,Units
2021-05-25T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-26T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-26T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-26T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-26T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-27T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-27T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-27T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-27T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-28T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-28T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-28T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-28T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-29T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-29T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-29T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-29T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-30T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-30T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-30T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-30T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-31T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-31T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-31T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-05-31T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-01T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-01T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-01T12,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-01T18,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-02T00,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
2021-06-02T06,BNDN5,2021-05-25T00,TC+KHGMEC_raw, 2.21,CFS
